,Hub,Needed (N),Remaining (R = N-T-D),% Completed,Country,Semaphore,Needed,In transit (T),Delivered (D),Remaining (R = N-T-D).1,Longitude,Latitude
41,"United States | Durham | Labdoo Hub Durham, North Carolina",18,0,100,United States,closed,13,0,28,0,-1.75,54.666667
42,Spain | Vilafranca del Penedes | Labdoo School Hub Vilafranca - Escola Montagut,58,0,100,Spain,open,22,24,47,0,1.6995213,41.3463825
43,Spain | Madrid | Labdoo School Hub Madrid - IES Villablanca,164,66,59,Spain,open,157,24,74,59,-3.703507,40.416782
44,"India | Kodambakkam, Chennai | Labdoo Hub Chennai",0,0,0,India,closed,0,0,0,0,80.2242829,13.049207
45,Spain | Barcelona | Labdoo Hub Barcelona @Itnig,0,0,0,Spain,closed,0,0,5,0,2.177073,41.3825802
46,Germany | Wuppertal-Barmen | Labdoo Annahmestelle 42287 Wuppertal-Barmen (Hub),228,0,100,Germany,open,141,41,640,0,7.1951992,51.2670229
47,Germany | München | Labdoo Annahmestelle 80804 München (Hub),3124,964,69,Germany,open,2449,129,2031,289,11.5753822,48.1371079
48,Spain | Barcelona | Labdoo School Hub Barcelona - Aula Escola Europea,172,48,72,Spain,open,123,0,124,0,2.177073,41.3825802
49,Spain | Sant Cugat del Vallés | Labdoo hub Barcelona @ESADE,0,0,0,Spain,closed,0,0,0,0,2.0817809,41.4728432
50,Spain | Hondarribia | Labdoo Hub Hondarribia - Euskadi,10,4,60,Spain,open,3,2,4,0,-1.7914309,43.3624468
51,Denmark | Frederiksbe | Labdoo Hub Copenhaguen Business School,0,0,0,Denmark,closed,0,0,0,0,0.0,0.0
52,Spain | Barcelona | Labdoo Hub Barcelona Amics de Gracia,72,19,73,Spain,inactive,31,1,52,0,2.177073,41.3825802
53,United States | Newport Beach | Labdoo School Hub California - Corona del Mar,0,0,0,United States,closed,0,0,4,0,-117.9294401,33.6170092
54,Germany | Berlin | Labdoo Annahmestelle 12051 Berlin: Wertraum | Die Wille gGmbH,384,52,86,Germany,open,257,16,316,0,13.3951309,52.5173885
55,Spain | Sant Martí Sarroca | Labdoo Hub Sant Martí Sarroca,24,0,100,Spain,inactive,14,2,25,0,1.6108158,41.3854214
56,Austria | Reichenthal | Labdoo Hub Mühlviertel (OÖ),25,5,80,Austria,open,25,0,20,5,14.3849807,48.5434585
57,Germany | Nürnberg | Labdoo Annahmestelle 90402 Nürnberg (Hub),376,4,98,Germany,open,312,30,342,0,11.077298,49.453872
58,United States | Irvine | Labdoo School Hub California - Irvine High School,0,0,0,United States,closed,0,0,4,0,-117.825981,33.6856969
59,United States | New York City | Labdoo Hub Broadway - New York,58,35,39,United States,closed,22,0,23,0,-74.0060152,40.7127281
60,Germany | Frankfurt am Main | Labdoo Annahmestelle 60487 Frankfurt am Main: [zur Zeit geschlossen],162,43,73,Germany,inactive,124,0,119,5,8.6820917,50.1106444
61,Spain | Vilafranca del Penedès | Labdoo School Hub Vilafranca - Col·legi Vedruna Sant Elies,445,6,98,Spain,open,218,41,398,0,1.6995213,41.3463825
62,Spain | Las Rozas de Madrid | Labdoo School Hub Madrid - Colegio Balder,43,33,23,Spain,inactive,43,0,10,33,-3.8758396,40.4933095
63,Germany | Bremen | Labdoo Annahmestelle 28215 Bremen (Hub),266,0,100,Germany,open,171,7,347,0,8.8071646,53.0758196
64,Germany | Freiburg | Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],200,37,81,Germany,closed,197,8,155,34,7.8494005,47.9960901
65,Germany | Mülheim an der Ruhr | Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),35095,7983,77,Germany,open,33229,836,26276,6117,6.8829192,51.4272925
66,Austria | Salzburg | Labdoo Hub Salzburg,1027,180,82,Austria,open,788,24,823,0,13.0464806,47.7981346
67,Switzerland | Oberwil-Lieli | Labdoo Hub Zürich (Schweiz),7768,352,95,Switzerland,open,7521,35,7381,105,8.3843501,47.3338992
68,Spain | Vilafranca del Penedes | Labdoo Hub Vilafranca @ Torres,0,0,0,Spain,inactive,0,0,2,0,1.6995213,41.3463825
69,Spain | Sant Cugat del Vallés  | Labdoo School Hub - Agora Sant Cugat International,20,15,25,Spain,inactive,20,0,5,15,2.0817809,41.4728432
70,Austria | Wien | Labdoo Hub Wien:  SANI,35,1,97,Austria,inactive,25,3,31,0,16.3725042,48.2083537
71,Spain | Barcelona | Labdoo Hub Barcelona @I2CAT Campus Nord,1723,504,70,Spain,open,1368,133,1086,149,2.177073,41.3825802
72,Germany | Soest | Labdoo Annahmestelle 59494 Soest: Kulturhaus Alter Schlachthof,0,0,0,Germany,open,0,2,6,0,8.1061259,51.5725501
73,Germany | Berlin | Labdoo Annahmestelle 12103 Berlin-Schöneberg: AfB gGmbH Shop Berlin,0,0,0,Germany,open,0,24,538,0,13.3951309,52.5173885
74,Germany | Suhl | Labdoo Annahmestelle 98527 Suhl: Frank Hoffmann,0,0,0,Germany,open,0,0,2,0,10.6926437,50.6086518
75,Germany | Dortmund | Labdoo Annahmestelle 44263 Dortmund - Hörde (Phoenixsee),0,0,0,Germany,open,0,0,15,0,7.4652789,51.5142273
76,Germany | Düsseldorf | Labdoo Annahmestelle 40227 Düsseldorf  (Nähe Hauptbahnhof): Dirk Balzer,20,0,100,Germany,open,10,1,88,0,6.7763137,51.2254018
77,Germany | Wuppertal | Labdoo Annahmestelle 42327 Wuppertal: GEPA - The Fair Trade Company,0,0,0,Germany,open,0,3,62,0,7.1780374,51.264018
78,Germany | Essen | Labdoo Annahmestelle 45139 Essen: AfB gGmbH Shop Essen,0,0,0,Germany,open,0,8,753,0,7.0158171,51.4582235
79,Germany | Hannover | Labdoo Annahmestelle 30165 Hannover: AfB gGmbH Shop Hannover,0,0,0,Germany,open,0,29,209,0,9.7385532,52.3744779
80,Germany | Wesel | Labdoo Annahmestelle 46485 Wesel: Stefan Abeln,0,0,0,Germany,open,0,6,29,0,6.617087,51.6576909
81,Germany | Neuenhagen | Labdoo Annahmestelle 15366 Neuenhagen bei Berlin: Holger Höing,0,0,0,Germany,open,0,0,5,0,13.1115253,53.7467873
82,Germany | Ettlingen | Labdoo Annahmestelle 76275 Ettlingen: AfB gGmbH Shop Ettlingen,0,0,0,Germany,open,0,2,222,0,8.4076347,48.9414188
83,Germany | Mülheim an der Ruhr | Labdoo Annahmestelle 45473 Mülheim an der Ruhr: VHS Volkshochschule,0,0,0,Germany,open,0,1,36,0,6.8829192,51.4272925
84,Germany | Hamburg | Labdoo Annahmestelle 21035 Hamburg - Bergedorf:  PC112 PCFeuerwehr GmbH [nach Absprache geöffnet],303,40,86,Germany,open,141,2,261,0,10.0013165,53.5501721
85,Germany | Hamburg | Labdoo Annahmestelle 22761 Hamburg - Bahrenfeld,0,0,0,Germany,open,0,0,55,0,10.0013165,53.5501721
86,Germany | Nürnberg | Labdoo Annahmestelle 90427 Nürnberg: Raphael Seebröker,70,0,100,Germany,open,70,3,67,0,11.077298,49.453872
87,Austria | Putzleinsdorf | Annahmestelle Putzleinsdorf: Judith Fuchs,0,0,0,Austria,open,0,0,0,0,13.8733381,48.5165615
88,Austria | Wien | Annahmestelle Wien Liesing (23. Bezirk): AfB Shop,0,0,0,Austria,open,0,0,1,0,16.3725042,48.2083537
89,Germany | Bonn | Labdoo Annahmestelle 53173 Bonn: Ulrich Egger (Hub),1291,258,80,Germany,open,1145,52,981,112,7.1024635,50.7352621
90,Germany | Düren | Labdoo Annahmestelle 52353 Düren: AfB gGmbH Shop Düren,0,0,0,Germany,open,0,1,335,0,6.4820806,50.8031684
91,Germany | Köln | Labdoo Annahmestelle 51103 Köln: AfB gGmbH Store Köln,0,0,0,Germany,open,0,0,107,0,6.959974,50.938361
92,Switzerland | Uettligen | Annahmestelle 3043 Uettligen (BE),0,0,0,Switzerland,open,0,0,0,0,7.3860162,46.987784
93,Switzerland | Randa | Annahmestelle 3928 Randa (VS),0,0,0,Switzerland,open,0,0,3,0,7.782412,46.1002792
94,Switzerland | Visp | GESCHLOSSEN: Annahmestelle 3930 Visp (VS),0,0,0,Switzerland,closed,0,0,0,0,7.8811918,46.2913113
95,Switzerland | Therwil | GESCHLOSSEN: Annahmestelle 4106 Therwil (BL),0,0,0,Switzerland,closed,0,0,0,0,7.5574673,47.4992969
96,Switzerland | Mägenwil | Annahmestelle 5506 Mägenwil (AG),0,0,0,Switzerland,open,0,0,0,0,8.2301927,47.4122258
97,Switzerland | Willisau | Annahmestelle 6130 Willisau (LU),0,0,0,Switzerland,open,0,0,0,0,7.99659,47.1215184
98,Switzerland | Regensdorf | GESCHLOSSEN: Annahmestelle 8105 Regensdorf (ZH),0,0,0,Switzerland,closed,0,0,0,0,8.4680435,47.4317645
99,Switzerland | Wallisellen | GESCHLOSSEN: Annahmestelle 8304 Wallisellen (ZH),0,0,0,Switzerland,closed,0,0,0,0,8.5919985,47.4166195
100,Switzerland | Volketswil | GESCHLOSSEN: Annahmestelle 8604 Volketswil (ZH),0,0,0,Switzerland,closed,0,0,0,0,8.690503,47.3898617
101,Switzerland | Unteriberg | Annahmestelle 8842 Unteriberg (SZ),0,0,0,Switzerland,open,0,0,0,0,8.8035271,47.0598018
102,Switzerland | Oberwil-Lieli | Annahmestelle 8966 Oberwil-Lieli (AG),0,0,0,Switzerland,open,0,0,0,0,8.3843501,47.3338992
103,Switzerland | St. Gallen | Annahmestelle 9001 St. Gallen (SG),0,0,0,Switzerland,open,0,0,0,0,9.3762397,47.425618
104,Switzerland | Kreuzlingen | Annahmestelle 8280 Kreuzlingen (TG),0,0,0,Switzerland,open,0,0,0,0,9.1725621,47.6464362
105,Switzerland | Biel/Bienne | Annahmestelle 2500 Biel/Bienne (BE),0,0,0,Switzerland,open,0,0,0,0,7.2439029,47.1402077
106,United States | Irvine | Labdoo Hub California @PeopleSpace,0,0,0,United States,inactive,0,1,95,0,-117.825981,33.6856969
107,Germany | Oberhausen | Labdoo Annahmestelle 46117 Oberhausen: Ajdin Halilovic,0,0,0,Germany,open,0,0,36,0,6.8514435,51.4696137
108,Spain | Valldoreix | Labdoo Hub Casal d'Avis de Valldoreix,0,0,0,Spain,closed,0,0,0,0,2.050516,41.4599073
109,Austria | Salzburg | Annahmestelle Salzburg: Amref Austria,0,0,0,Austria,open,0,0,0,0,13.0464806,47.7981346
110,Austria | Graz | Annahmestelle Graz Zentrum,0,0,0,Austria,closed,0,0,5,0,15.4382786,47.0708678
111,Austria | Salzburg - Gneis | Annahmestelle Salzburg-Gneis: Weltladen Salzburg-Gneis,0,0,0,Austria,open,0,0,0,0,13.0408524,47.7791152
112,Austria | Köstendorf | Annahmestelle Köstendorf: EZA Fairer Handel,0,0,0,Austria,open,0,0,0,0,13.1978045,47.9568047
113,Austria | Salzburg | Annahmestelle Salzburg: Pfarre Maria-Hilf in Leopoldskron-Moos,0,0,0,Austria,inactive,0,0,21,0,13.0464806,47.7981346
114,Austria | Innsbruck / Arzl  | Annahmestelle Innsbruck:  Mittelschule Olympisches Dorf,0,0,0,Austria,open,0,0,5,0,11.4297668,47.283434
115,Switzerland | Siebnen | GESCHLOSSEN: Annahmestelle 8854 Siebnen (SZ),0,0,0,Switzerland,closed,0,0,0,0,8.8987142,47.1755353
116,Germany | Duisburg | Labdoo Annahmestelle 47198 Duisburg: Mail Boxes Etc. | AB Druck & Versand GmbH,0,0,0,Germany,open,0,1,25,0,6.759562,51.434999
117,Spain | Hospitalet | Labdoo School Hub Barcelona - Institut Pedraforca,0,0,0,Spain,closed,0,0,0,0,2.0997927,41.3598601
118,Spain | Lliçà de Vall | Labdoo Hub Lliçà de Vall - Obra Tutelar Agraria (OTA),24,0,100,Spain,inactive,6,0,25,0,2.2422403,41.5915542
119,Switzerland | Alpnach | Annahmestelle 6055 Alpnach (OW),0,0,0,Switzerland,open,0,0,0,0,8.2736829,46.9411661
120,Germany | Bergisch Gladbach | Labdoo Annahmestelle 51429 Bergisch Gladbach: Frank Dietz (Freifunk),45,0,100,Germany,open,39,0,60,0,7.1277379,50.9929303
121,Colombia | Bello | Labdoo Hub Medellín / Divergente,134,44,67,Colombia,open,126,8,82,36,-1.4997476,40.922441
122,Switzerland | Solothurn | GESCHLOSSEN: Annahmestelle 4500 Solothurn (SO),0,0,0,Switzerland,closed,0,0,0,0,7.6698284,47.31874
123,Germany | München | Labdoo Annahmestelle 80335 München: Kinder- und Jugendmuseum München [zur Zeit nicht aktiv],0,0,0,Germany,closed,0,15,174,0,11.5753822,48.1371079
124,Germany | Gründau-Lieblos | Labdoo Annahmestelle 63584 Gründau-Lieblos: Malteser Hilfsdienst Kreisgeschäftsstelle Main-Kinzig-Kreis,0,0,0,Germany,open,0,0,12,0,9.1400401,50.2000732
125,Germany | Dortmund | Labdoo Annahmestelle 44263 Dortmund (Hub),57,0,100,Germany,open,45,1,57,0,7.4652789,51.5142273
126,Germany | Hofsingelding | Labdoo Annahmestelle 85457 Hofsingelding: Anna Maria Blau (ADIA Erding e.V.),0,0,0,Germany,open,0,0,16,0,11.8773377,48.2479594
127,Germany | Fulda | Labdoo Annahmestelle 36039 Fulda: Malteser Hilfsdienst Diözesangeschäftsstelle,0,0,0,Germany,open,0,0,4,0,9.6770448,50.5542328
128,Germany | Hofheim am Taunus | Labdoo Annahmestelle 65719 Hofheim am Taunus: Tobias Schmidtke,65,0,100,Germany,open,32,8,672,0,8.42285,50.09494
129,Luxembourg | Luxembourg | EuropaHub Lux,0,0,0,Luxembourg,open,0,0,0,0,6.1296751,49.8158683
130,United Arab Emirates | Dubai | Labdoo Hub Dubai - World Trade Center,0,0,0,United Arab Emirates,inactive,0,0,0,0,55.1885387,25.0742823
131,Switzerland | Dietikon | Annahmestelle 8953 Dietikon (ZH),0,0,0,Switzerland,open,0,0,0,0,8.4030765,47.4050746
132,Switzerland | Stäfa | Annahmestelle 8712 Stäfa (ZH),0,0,0,Switzerland,open,0,0,0,0,8.7348747,47.2413349
133,Switzerland | Olten | GESCHLOSSEN: Annahmestelle 4600 Olten (SO),0,0,0,Switzerland,closed,0,0,0,0,7.903787,47.3496571
134,Spain | Vilafranca del Penedes | Labdoo City Hub Vilafranca del Penedes - Escorxador,3,0,100,Spain,open,1,3,17,0,1.6995213,41.3463825
135,Spain | La Garriga | Labdoo Hub La Garriga - eXplorium,0,0,0,Spain,closed,0,0,0,0,2.2865796,41.6849111
136,Spain | Barcelona | Labdoo Hub Barcelona BaseTIS,10,0,100,Spain,open,10,0,26,0,2.177073,41.3825802
137,Switzerland | Bern | GESCHLOSSEN: Annahmestelle 3027 Bern (BE),0,0,0,Switzerland,closed,0,0,0,0,7.4521749,46.9484742
138,Spain | Berga | Labdoo Hub Berga - Inforber,0,0,0,Spain,open,0,0,0,0,5.3259192,60.3943055
139,Spain | Manresa | Labdoo Hub Manresa - Inforber,0,0,0,Spain,open,0,0,0,0,1.8286765,41.7288939
140,Germany | Düsseldorf | Labdoo Annahmestelle 40233 Düsseldorf - Flingern: AWISTA Kommunal Recyclinghof Flingern,0,0,0,Germany,open,0,38,742,0,6.7763137,51.2254018
141,Spain | Valencia | Labdoo Hub Valencia - Antiguos Alumnos UPV,0,0,0,Spain,open,0,0,11,0,-0.3763353,39.4697065
142,Germany | Werder | Labdoo Annahmestelle 14542 Werder: Jürgen Weinreich,13,0,100,Germany,open,8,4,45,0,12.9329125,52.3715809
143,Switzerland | Breitenbach | Annahmestelle 4226 Breitenbach (SO),0,0,0,Switzerland,open,0,0,0,0,7.2930383,48.3657983
144,United States | Lake Forest | TechAnnex ,3,0,100,United States,open,3,0,48,0,-87.8407055,42.2586461
145,Germany | Duisburg | Labdoo Annahmestelle 47167 Duisburg Röttgersbach: Recyclingzentrum Nord Wirtschaftsbetriebe Duisburg,0,0,0,Germany,open,0,0,42,0,6.759562,51.434999
146,Germany | Duisburg | Labdoo Annahmestelle 47053 Duisburg Hochfeld: Recyclinghof Mitte Wirtschaftsbetriebe Duisburg / R(h)einladen,0,0,0,Germany,open,0,19,19,0,6.759562,51.434999
147,Germany | Duisburg | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),0,0,0,Germany,open,0,1,402,0,6.759562,51.434999
148,Spain | Granollers | Labdoo Hub Granollers - Educem,12,0,100,Spain,closed,6,0,20,0,2.2876008,41.6079555
149,Greece | Athens | Labdoo Hub Athens,5,5,0,Greece,open,5,0,0,5,-83.376398,33.9597677
150,"United States | Pomona | Labdoo Hub California Polytechnic State University, Pomona",0,0,0,United States,inactive,0,4,9,0,-117.7517496,34.0553813
151,Spain | Vilafranca del Penedes | Labdoo School Hub Vilafranca - Col·legi Sant Josep,3,0,100,Spain,inactive,1,0,3,0,1.6995213,41.3463825
152,Dominican Republic | Santo Domingo Este | Labdoo Hub Santo Domingo (Dominican Republic),0,0,0,Dominican Republic,open,0,0,0,0,-69.8383703,18.4936515
153,New Zealand | Auckland | Labdoo Hub Auckland,288,70,75,New Zealand,open,280,34,184,62,174.7631803,-36.852095
154,Netherlands | Amsterdam | Labdoo Hub Amsterdam,0,0,0,Netherlands,closed,0,0,0,0,4.8924534,52.3730796
155,Spain | Vilafranca del Penedès |  Labdoo City Hub Vilafranca del Penedes - Biblioteca Torras i Bages ,0,0,0,Spain,open,0,5,32,0,1.6995213,41.3463825
156,Switzerland | Aarau | GESCHLOSSEN: Annahmestelle 5000 Aarau (AG),0,0,0,Switzerland,closed,0,0,0,0,8.0444448,47.3927146
157,Switzerland | Glattbrugg | GESCHLOSSEN: Annahmestelle 8152 Glattbrugg (ZH),0,0,0,Switzerland,closed,0,0,0,0,8.5589291,47.4308526
158,"Hong Kong S.A.R., China | Hong Kong | Labdoo Hub Hong Kong - Central",45,21,53,"Hong Kong S.A.R., China",closed,30,2,22,6,114.1628907,22.2792968
159,Germany | Neuss | Labdoo Annahmestelle 41462 Neuss:  Ambulante Hilfen Neuss | Neukirchener Erziehungsverein,0,0,0,Germany,open,0,0,15,0,6.6916476,51.1981778
160,Germany | Neukirchen-Vluyn | Labdoo Annahmestelle 47506 Neukirchen-Vluyn: Neukirchener Erziehungsverein,0,0,0,Germany,open,0,0,1,0,6.5467641,51.4413742
161,Switzerland | Flamatt | GESCHLOSSEN: Annahmestelle 3175 Flamatt (FR),0,0,0,Switzerland,closed,0,0,0,0,7.3110208,46.8894589
162,Austria | Klagenfurt | Annahmestelle AfB Klagenfurt,0,0,0,Austria,open,0,0,0,0,14.3075976,46.623943
163,United States | San Jose |  Labdoo Hub Melody Semiconductors,0,0,0,United States,inactive,0,0,0,0,-121.890591,37.3361663
164,United States | Palo Alto | Labdoo Hub-Palo Alto,0,0,0,United States,open,0,0,9,0,-122.1598465,37.4443293
165,Spain | Barcelona | Labdoo Hub - Associació Catalana d’Enginyers de Telecomunicació,0,0,0,Spain,open,0,1,14,0,2.177073,41.3825802
166,Germany | Dietzenbach | Labdoo Annahmestelle 63128 Dietzenbach: Amira Bieber,0,0,0,Germany,open,0,0,9,0,8.784277,50.0171926
167,Germany | Sandhausen | Labdoo Annahmestelle 69207 Sandhausen / Rhein-Neckar: Heinrich Wegener (Hub),129,0,100,Germany,open,129,14,338,0,8.6595053,49.3424055
168,Austria | Wien - Mödling    Annahmestelle Hr. Rossmann | Annahmestelle Rossmann,0,0,0,Austria,open,0,0,6,0,0.0,0.0
169,Spain | Sant Pere de Riudebitlles | Labdoo City Hub Sant Pere de Riudebitlles - Biblioteca Maria Àngels Torrents,0,0,0,Spain,open,0,0,0,0,1.7017388,41.4535893
170,Spain | Sant Quintí de Mediona | Labdoo City Hub Sant Quintí de Mediona - Biblioteca Joan Sardà i Lloret,0,0,0,Spain,open,0,0,0,0,1.6652161,41.4627909
171,Spain | Sant Sadurní d’Anoia | Labdoo City Hub Sant Sadurní d’Anoia - Biblioteca Ramon Bosch de Noya,0,0,0,Spain,open,0,0,0,0,1.7863949,41.4244663
172,Spain | Santa Margarida i els Monjos | Labdoo City Hub Santa Margarida i els Monjos - Biblioteca Santa Margarida i els Monjos,0,0,0,Spain,open,0,0,16,0,1.6623519,41.3213389
173,Spain | Sant Pere de Ribes | Labdoo City Hub Sant Pere de Ribes - Biblioteca Manuel de Pedrolo,0,0,0,Spain,open,0,2,4,0,1.7721357,41.2619218
174,Spain | Sant Pere de Ribes | Labdoo City Hub Sant Pere de Ribes - Biblioteca Josep Pla,0,0,0,Spain,open,0,0,3,0,1.7721357,41.2619218
175,Spain | Sitges | Labdoo City Hub Sitges - Biblioteca Santiago Rusiñol,0,0,0,Spain,open,0,0,0,0,1.8228136,41.2366707
176,Spain | Sitges | Labdoo City Hub Sitges - Biblioteca Josep Roig i Raventós,0,0,0,Spain,open,0,0,2,0,1.8228136,41.2366707
177,Spain | Vilanova i la Geltru | Labdoo City Hub Vilanova i la Geltrú - Biblioteca Joan Oliva i Milà,0,0,0,Spain,open,0,1,2,0,1.7256327,41.2241992
178,Spain | Vilanova i la Geltrú | Labdoo City Hub Vilanova i la Geltrú - Biblioteca Armand Cardona Torrandell ,0,0,0,Spain,open,0,1,4,0,1.7256327,41.2241992
179,Spain | Vilafranca del Penedés | Labdoo Mobile Hub Vilafranca del Penedes - BIBLIOBUS CASTELLOT,0,0,0,Spain,open,0,0,0,0,1.6995213,41.3463825
180,Spain | Vilafranca del Penedés | Labdoo Mobile Hub Vilafranca del Penedes - BIBLIOBUS MONTAU,0,0,0,Spain,open,0,1,0,0,1.6995213,41.3463825
181,"Austria | St. Pölten | EVI  Naturkost, Laptopsammelstelle und Restaurant",0,0,0,Austria,open,0,0,15,0,15.6229118,48.2043985
182,Austria | Röthis | Labdoo Hub Vorarlberg,2,2,0,Austria,open,1,0,0,1,9.6534863,47.2922308
183,Venezuela | Maturin  | Labdoo Hub Venezuela - Maturin,0,0,0,Venezuela,open,0,0,0,0,-63.1888854,9.7422774
184,Germany | Neuss | Labdoo Annahmestelle 41460 Neuss:  SPD Geschäftsstelle Neuss,0,0,0,Germany,open,0,0,29,0,6.6916476,51.1981778
185,Germany | Oberkirchen | Labdoo Annahmestelle 66629 Oberkirchen (Saar): Ehrenamtliches Café Edelstein Heimat- und Verkehrsverein | WEISELBERG e.V.,63,21,66,Germany,open,31,1,41,0,8.3743827,51.1584393
